,Location,Total Cases,Total Deaths,Total Recovered
0,DKI Jakarta,39,20,39
1,DKI Jakarta,41,20,39
3,Riau,2,0,0
4,DKI Jakarta,43,20,39
6,Jawa Barat,1,1,2
7,Riau,2,0,0
8,DKI Jakarta,45,20,39
10,Jawa Barat,2,1,2
11,Riau,2,0,0
12,DKI Jakarta,45,21,39
14,Jawa Barat,3,1,2
15,Riau,2,0,0
16,Banten,1,5,73
17,DKI Jakarta,45,21,39
19,Jawa Barat,4,1,2
20,Riau,2,0,0
21,Banten,1,5,73
22,DKI Jakarta,45,23,39
24,Jawa Barat,4,1,2
25,Riau,2,0,0
26,Banten,2,5,76
27,DKI Jakarta,45,23,39
29,Jawa Barat,4,1,2
30,Jawa Tengah,1,8,8
31,Riau,2,0,0
32,Banten,2,5,76
33,DKI Jakarta,45,24,39
35,Jawa Barat,4,1,2
36,Jawa Tengah,1,8,8
37,Riau,2,0,0
38,Banten,2,5,84
39,DKI Jakarta,45,24,39
41,Jawa Barat,4,1,2
42,Jawa Tengah,1,8,8
43,Riau,2,0,0
44,Sulawesi Tenggara,1,0,9
45,Bali,1,1,1
46,Banten,2,5,92
47,DKI Jakarta,45,24,39
49,Jawa Barat,4,2,2
50,Jawa Tengah,3,9,9
51,Riau,2,0,0
52,Sulawesi Tenggara,1,0,9
53,Bali,1,1,1
54,Banten,2,6,94
55,DKI Jakarta,47,25,43
57,Jawa Barat,5,2,2
58,Jawa Tengah,3,9,9
59,Riau,2,0,0
60,Sulawesi Tenggara,1,0,9
61,Bali,1,1,1
62,Banten,3,7,94
63,DKI Jakarta,51,26,46
65,Jawa Barat,9,2,3
66,Jawa Tengah,3,9,9
67,Riau,2,0,0
68,Sulawesi Tenggara,1,0,9
69,Bali,1,1,1
70,Banten,4,7,96
71,DKI Jakarta,53,27,47
73,Jawa Barat,9,2,3
74,Jawa Tengah,5,9,10
75,Kalimantan Timur,3,0,0
76,Riau,2,0,0
77,Sulawesi Tenggara,1,0,9
78,Bali,1,1,1
79,Banten,5,7,101
80,DKI Jakarta,61,30,47
82,Jawa Barat,9,2,5
83,Jawa Tengah,6,9,11
84,Kalimantan Timur,5,0,0
85,Riau,2,0,0
86,Sulawesi Tenggara,1,0,9
87,Bali,1,1,1
